participant_id,condition,pointer_type,distance_to_start_position,is_circle_clicked,is_target,task_completion_time_in_ms
1,4,novel,835.7756876100191,True,True,1157.442
1,6,novel,660.9341873439442,True,True,434.671
1,6,novel,460.6658224787248,False,False,
1,6,novel,826.3292322071147,True,True,1198.858
1,6,novel,580.3318016445419,True,True,741.8939999999999
1,6,novel,673.2941407735552,True,True,1383.9579999999999
1,6,novel,828.304895554771,True,True,872.502
1,5,novel,597.5968540747183,True,True,516.365
1,5,novel,834.1372788696115,True,True,993.502
1,5,novel,651.2488003827722,True,True,705.7710000000002
1,5,novel,730.896025437271,True,True,1520.017
1,5,novel,816.0,True,True,743.938
2,3,novel,843.1334413958446,True,True,671.0980000000001
2,3,novel,688.3865193334339,True,True,391.394
2,3,novel,580.9027457328808,True,True,495.198
2,3,novel,667.632383876037,True,True,1134.245
2,3,novel,842.3740261902667,True,True,898.905
2,4,novel,719.123077087643,True,True,733.6160000000001
2,4,novel,650.4160207128973,True,True,1136.0600000000004
2,4,novel,836.2116956847709,True,True,617.3729999999998
2,4,novel,575.4754556017137,True,True,546.4290000000002
2,4,novel,809.1062970957522,True,True,672.018
2,2,novel,665.9496978000666,True,True,1073.2160000000001
2,2,novel,672.4856875800406,True,True,391.648
2,2,novel,556.9865348462206,True,True,482.48900000000003
2,2,novel,831.5653912952366,True,True,751.6030000000002
2,2,novel,837.7804008211223,True,True,579.582
2,5,novel,695.1747981623039,True,True,438.721
2,5,novel,627.6758717682238,True,True,461.77099999999996
2,5,novel,647.3391692150259,True,True,597.751
2,5,novel,845.2366532516203,True,True,554.413
2,5,novel,809.3707432320494,True,True,541.0279999999998
2,1,novel,860.0005813951524,True,True,549.224
2,1,novel,585.3904679784255,True,True,428.725
2,1,novel,223.98660674245684,False,False,
2,1,novel,683.0527066046952,True,True,813.243
2,1,novel,659.9696962740031,True,True,649.227
2,1,novel,855.0368413115308,True,True,508.845
2,6,novel,827.6986166473881,True,True,803.5169999999999
2,6,novel,1.0,False,False,
2,6,novel,562.3068557291472,True,True,688.572
2,6,novel,805.5457777184363,True,True,852.6110000000001
2,6,novel,656.5972890592832,True,True,887.567
2,6,novel,690.2731343461079,True,True,654.235
3,5,novel,2677.889654186669,True,True,1213.2099999999996
3,5,novel,2611.032362878714,True,True,626.247
3,5,novel,2757.6861677863208,True,True,780.2940000000001
3,5,novel,2882.4685601060773,True,True,976.071
3,5,novel,2914.013898388269,True,True,654.67
3,6,novel,2595.3321560062404,True,True,1652.655
3,6,novel,2640.1039752252177,True,True,1159.212
3,6,novel,2747.144699501648,True,True,909.918
3,6,novel,2837.45960323667,True,True,1488.596
3,6,novel,2874.3681044709638,True,True,904.378
3,4,novel,2746.373791019714,True,True,702.056
3,4,novel,2595.917178956216,True,True,1462.195
3,4,novel,555.5033753272792,False,False,
3,4,novel,2638.0087187119,True,True,2318.069
3,4,novel,2861.3383232326787,True,True,799.143
3,4,novel,2847.877981936726,True,True,1011.498
3,1,novel,2632.753881394917,True,True,558.5989999999998
3,1,novel,2899.0993428994457,True,True,665.7460000000001
3,1,novel,2755.907473047671,True,True,984.752
3,1,novel,2656.5927425934146,True,True,1046.612
3,1,novel,2891.6225548988928,True,True,893.7360000000001
3,3,novel,2689.6438425932897,True,True,909.01
3,3,novel,2751.6491418783758,True,True,723.9910000000001
3,3,novel,2855.149208009977,True,True,817.357
3,3,novel,2600.293252692857,True,True,687.1709999999998
3,3,novel,29.27456233660889,False,False,
3,3,novel,2860.0846141329457,True,True,1335.7669999999996
3,2,novel,2648.390077009049,True,True,718.743
3,2,novel,2589.3628559937288,True,True,803.184
